Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1040.000000	0.00315421	1040.000000	0.00241294	1040.000000	0.00241259	1040.000000	0.00240667	1040.000000	0.00241264	1040.000000	2.91914e-07	
1060.000000	0.00314182	1060.000000	0.00240492	1060.000000	0.00240493	1060.000000	0.00239906	1060.000000	0.00240463	1060.000000	2.86845e-07	
1080.000000	0.00313012	1080.000000	0.00239733	1080.000000	0.00239768	1080.000000	0.00239185	1080.000000	0.00239704	1080.000000	2.81955e-07	
1100.000000	0.00311906	1100.000000	0.00239015	1100.000000	0.00239084	1100.000000	0.00238503	1100.000000	0.00238987	1100.000000	2.77236e-07	
1120.000000	0.00310861	1120.000000	0.00238335	1120.000000	0.00238439	1120.000000	0.00237856	1120.000000	0.00238308	1120.000000	2.72678e-07	
1140.000000	0.00309875	1140.000000	0.00237693	1140.000000	0.0023783	1140.000000	0.00237244	1140.000000	0.00237666	1140.000000	2.68274e-07	
1160.000000	0.00308944	1160.000000	0.00237085	1160.000000	0.00237254	1160.000000	0.00236664	1160.000000	0.00237059	1160.000000	2.64014e-07	
1180.000000	0.00308065	1180.000000	0.00236511	1180.000000	0.00236709	1180.000000	0.00236114	1180.000000	0.00236485	1180.000000	2.59893e-07	
1200.000000	0.00307237	1200.000000	0.00235968	1200.000000	0.0023619	1200.000000	0.00235594	1200.000000	0.00235942	1200.000000	2.55904e-07	
1220.000000	0.00306456	1220.000000	0.00235454	1220.000000	0.00235697	1220.000000	0.002351	1220.000000	0.00235429	1220.000000	2.52039e-07	
1240.000000	0.00305722	1240.000000	0.0023497	1240.000000	0.00235228	1240.000000	0.00234632	1240.000000	0.00234945	1240.000000	2.48294e-07	
1260.000000	0.00305031	1260.000000	0.00234513	1260.000000	0.00234782	1260.000000	0.00234189	1260.000000	0.00234488	1260.000000	2.44663e-07	
1280.000000	0.00304382	1280.000000	0.00234081	1280.000000	0.00234359	1280.000000	0.00233769	1280.000000	0.00234057	1280.000000	2.41141e-07	
1300.000000	0.00303773	1300.000000	0.00233675	1300.000000	0.00233958	1300.000000	0.00233371	1300.000000	0.00233651	1300.000000	2.37722e-07	
1320.000000	0.00303202	1320.000000	0.00233292	1320.000000	0.00233578	1320.000000	0.00232995	1320.000000	0.00233269	1320.000000	2.34403e-07	
1340.000000	0.00302669	1340.000000	0.00232932	1340.000000	0.00233219	1340.000000	0.00232638	1340.000000	0.00232909	1340.000000	2.31178e-07	
1360.000000	0.0030217	1360.000000	0.00232594	1360.000000	0.00232879	1360.000000	0.002323	1360.000000	0.00232571	1360.000000	2.28044e-07	
